Date,KYDATA.OnVentCum,KYDATA.OnVentCurr
2020-6-11,0,0
2020-6-12,0,0
2020-6-13,0,0
2020-6-14,0,0
2020-6-15,0,0
2020-6-16,0,0
2020-6-17,0,0
2020-6-18,0,0
2020-6-19,0,0
2020-6-20,0,0
2020-6-21,0,0
2020-6-22,0,0
2020-6-23,0,0
2020-6-24,0,0
2020-6-25,0,0
2020-6-26,0,0
2020-6-27,0,0
2020-6-28,0,0
2020-6-29,0,0
2020-6-30,0,0
2020-7-1,0,0
2020-7-2,0,0
2020-7-3,0,0
2020-7-4,0,0
2020-7-5,0,0
2020-7-6,0,0
2020-7-7,0,0
2020-7-8,0,0
2020-7-9,0,0
2020-7-10,0,0
2020-7-11,0,0
2020-7-12,0,0
2020-7-13,0,0
2020-7-14,0,0
2020-7-15,0,0
2020-7-16,0,0
2020-7-17,0,0
2020-7-18,0,0
2020-7-19,0,0
2020-7-20,0,0
2020-7-21,0,0
2020-7-22,0,0
2020-7-23,0,0
2020-7-24,0,0
2020-7-25,0,0
2020-7-26,0,0
2020-7-27,0,0
2020-7-28,0,0
2020-7-29,0,0
2020-7-30,0,0
2020-7-31,0,0
2020-8-1,0,0
2020-8-2,0,0
2020-8-3,0,0
2020-8-4,0,0
2020-8-5,0,0
2020-8-6,0,0
2020-8-7,0,0
2020-8-8,0,0
2020-8-9,0,0
2020-8-10,0,0
2020-8-11,0,0
2020-8-12,0,0
2020-8-13,0,0
2020-8-14,0,0
2020-8-15,0,0
2020-8-16,0,0
2020-8-17,0,0
2020-8-18,0,0
2020-8-19,0,0
2020-8-20,0,0
2020-8-21,0,0
2020-8-22,0,0
2020-8-23,0,0
2020-8-24,0,0
2020-8-25,0,0
2020-8-26,0,0
2020-8-27,0,0
2020-8-28,0,0
2020-8-29,0,0
2020-8-30,0,0
2020-8-31,0,0
2020-9-1,0,0
2020-9-2,0,0
2020-9-3,0,0
2020-9-4,0,0
2020-9-5,0,0
2020-9-6,0,0
2020-9-7,0,0
2020-9-8,0,0
2020-9-9,0,0
2020-9-10,0,0
2020-9-11,0,0
2020-9-12,0,0
2020-9-13,0,0
2020-9-14,0,0
2020-9-15,0,0
2020-9-16,0,0
2020-9-17,0,0
2020-9-18,0,0
2020-9-19,0,0
2020-9-20,0,0
2020-9-21,0,0
2020-9-22,0,0
2020-9-23,0,0
2020-9-24,0,0
2020-9-25,0,0
2020-9-26,0,0
2020-9-27,0,0
2020-9-28,0,0
2020-9-29,0,0
2020-9-30,0,0
2020-10-1,0,0
2020-10-2,0,0
2020-10-3,0,0
2020-10-4,0,0
2020-10-5,0,0
2020-10-6,0,0
2020-10-7,0,0
2020-10-8,0,0
2020-10-9,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-1,0,0
2020-11-2,0,0
2020-11-3,0,0
2020-11-4,0,0
2020-11-5,0,0
2020-11-6,0,0
2020-11-7,0,0
2020-11-8,0,0
2020-11-9,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,163
2020-11-13,0,147
2020-11-14,0,167
2020-11-15,0,167
2020-11-16,0,128
2020-11-17,0,178
2020-11-18,0,176
2020-11-19,0,199
2020-11-20,0,188
2020-11-21,0,202
2020-11-22,0,202
2020-11-23,0,203
2020-11-24,0,207
2020-11-25,0,216
2020-11-26,0,216
2020-11-27,0,216
2020-11-28,0,220
2020-11-29,0,220
2020-11-30,0,229
2020-12-1,0,241
2020-12-2,0,234
2020-12-3,0,240
2020-12-4,0,230
2020-12-5,0,226
2020-12-6,0,226
2020-12-7,0,210
2020-12-8,0,207
2020-12-9,0,211
2020-12-10,0,231
2020-12-11,0,253
2020-12-12,0,199
2020-12-13,0,199
2020-12-14,0,243
2020-12-15,0,246
2020-12-16,0,239
2020-12-17,0,254
2020-12-18,0,227
2020-12-19,0,253
2020-12-20,0,226
2020-12-21,0,231
2020-12-22,0,223
2020-12-23,0,222
2020-12-24,0,222
2020-12-25,0,222
2020-12-26,0,237
2020-12-27,0,217
2020-12-28,0,217
2020-12-29,0,211
2020-12-30,0,234
2020-12-31,0,234
2021-1-1,0,234
2021-1-2,0,211
2021-1-3,0,196
2021-1-4,0,216
2021-1-5,0,215
2021-1-6,0,244
2021-1-7,0,217
2021-1-8,0,217
2021-1-9,0,201
2021-1-10,0,212
2021-1-11,0,207
2021-1-12,0,205
2021-1-13,0,225
2021-1-14,0,196
2021-1-15,0,203
2021-1-16,0,214
2021-1-17,0,214
2021-1-18,0,208
2021-1-19,0,208
2021-1-20,0,205
2021-1-21,0,209
2021-1-22,0,195
2021-1-23,0,209
2021-1-24,0,218
2021-1-25,0,203
2021-1-26,0,228
2021-1-27,0,225
2021-1-28,0,205
2021-1-29,0,199
2021-1-30,0,185
2021-1-31,0,173
2021-2-1,0,178
2021-2-2,0,172
2021-2-3,0,171
2021-2-4,0,171
2021-2-5,0,167
2021-2-6,0,164
2021-2-7,0,140
2021-2-8,0,142
2021-2-9,0,148
2021-2-10,0,169
2021-2-11,0,156
2021-2-12,0,154
2021-2-13,0,143
2021-2-14,0,147
2021-2-15,0,132
2021-2-16,0,133
2021-2-17,0,128
2021-2-18,0,130
2021-2-19,0,131
2021-2-20,0,125
2021-2-21,0,148
2021-2-22,0,119
2021-2-23,0,121
2021-2-24,0,112
2021-2-25,0,122
2021-2-26,0,105
2021-2-27,0,87
2021-2-28,0,118
2021-3-1,0,82
2021-3-2,0,82
2021-3-3,0,79
2021-3-4,0,91
2021-3-5,0,76
2021-3-6,0,72
2021-3-7,0,82
